device_id,type,vendor,owner,deploy_date,refresh_due_date,status,retirement_date,data_wipe_confirmed,cost_usd,checked_on
DEV-001,laptop,Dell,EMP-014,2025-07-08,2028-06-22,active,,,1373,2026-09-01
DEV-002,desktop,Dell,EMP-027,2024-08-12,2028-07-22,active,,,1246,2026-09-01
DEV-003,mobile,Apple,EMP-040,2025-03-10,2027-02-28,active,,,1119,2026-09-01
DEV-004,server,HPE,EMP-053,2022-10-22,2027-09-26,active,,,6692,2026-09-01
DEV-005,laptop,Lenovo,EMP-066,2021-10-27,,retired,2023-04-20,yes,2065,2026-09-01
DEV-006,desktop,HP,EMP-079,2024-06-13,2028-05-23,active,,,1038,2026-09-01
DEV-007,mobile,Samsung,EMP-012,2026-01-04,2027-12-25,active,,,611,2026-09-01
DEV-008,server,Dell,EMP-025,2021-03-31,2026-03-05,active,,,7384,2026-09-01
DEV-009,laptop,Dell,EMP-038,2025-09-06,2028-08-21,active,,,1557,2026-09-01
DEV-010,desktop,Dell,EMP-051,2024-04-14,2028-03-24,active,,,1730,2026-09-01
DEV-011,mobile,Apple,EMP-064,2021-08-28,,retired,2023-02-19,no,703,2026-09-01
DEV-012,server,HPE,EMP-077,2024-06-13,2029-05-18,active,,,8076,2026-09-01
DEV-013,laptop,Lenovo,EMP-010,2024-07-13,2027-06-28,active,,,2249,2026-09-01
DEV-014,desktop,HP,EMP-023,2024-02-14,2028-01-24,active,,,1522,2026-09-01
DEV-015,mobile,Samsung,EMP-036,2026-03-05,2028-02-23,active,,,795,2026-09-01
DEV-016,server,Dell,EMP-049,2025-04-09,2030-03-14,active,,,8768,2026-09-01
DEV-017,laptop,Dell,EMP-062,2025-11-05,2028-10-20,active,,,1741,2026-09-01
DEV-018,desktop,Dell,EMP-075,2024-03-15,,retired,2025-09-06,yes,1314,2026-09-01
DEV-019,mobile,Apple,EMP-008,2025-07-08,2027-06-28,active,,,887,2026-09-01
DEV-020,server,HPE,EMP-021,2026-02-03,2031-01-08,active,,,9460,2026-09-01
DEV-021,laptop,Lenovo,EMP-034,2024-09-11,2027-08-27,active,,,1233,2026-09-01
DEV-022,desktop,HP,EMP-047,2023-10-17,2027-09-26,active,,,1106,2026-09-01
DEV-023,mobile,Samsung,EMP-060,2026-05-04,2028-04-23,active,,,979,2026-09-01
DEV-024,server,Dell,EMP-073,2024-01-15,,retired,2025-07-08,yes,10152,2026-09-01
DEV-025,laptop,Dell,EMP-006,2026-01-04,2028-12-19,active,,,1925,2026-09-01
DEV-026,desktop,Dell,EMP-019,2023-08-18,2027-07-28,active,,,1798,2026-09-01
DEV-027,mobile,Apple,EMP-032,2024-03-15,2026-03-05,active,,,1071,2026-09-01
DEV-028,server,HPE,EMP-045,2023-04-20,2028-03-24,active,,,10844,2026-09-01
DEV-029,laptop,Lenovo,EMP-058,2024-06-13,,retired,2025-12-05,yes,1417,2026-09-01
DEV-030,desktop,HP,EMP-071,2023-06-19,2027-05-29,active,,,1590,2026-09-01
DEV-031,mobile,Samsung,EMP-004,2025-01-09,2026-12-30,active,,,1163,2026-09-01
DEV-032,server,Dell,EMP-017,2024-02-14,2029-01-18,active,,,11536,2026-09-01
DEV-033,laptop,Dell,EMP-030,2026-03-05,2029-02-17,active,,,2109,2026-09-01
DEV-034,desktop,Dell,EMP-043,2023-04-20,2027-03-30,active,,,1382,2026-09-01
DEV-035,mobile,Apple,EMP-056,2024-04-14,,retired,2025-10-06,yes,655,2026-09-01
DEV-036,server,HPE,EMP-069,2024-12-10,2029-11-14,active,,,6228,2026-09-01
DEV-037,laptop,Lenovo,EMP-002,2025-01-09,2027-12-25,active,,,1601,2026-09-01
DEV-038,desktop,HP,EMP-015,2023-02-19,2027-01-29,active,,,1174,2026-09-01
DEV-039,mobile,Samsung,EMP-028,2025-03-10,2027-02-28,active,,,747,2026-09-01
DEV-040,server,Dell,EMP-041,2025-10-06,2030-09-10,active,,,6920,2026-09-01
DEV-041,laptop,Dell,EMP-054,2026-05-04,2029-04-18,active,,,2293,2026-09-01
DEV-042,desktop,Dell,EMP-067,2023-07-19,,retired,2025-01-09,no,966,2026-09-01
DEV-043,mobile,Apple,EMP-080,2026-01-04,2027-12-25,active,,,839,2026-09-01
DEV-044,server,HPE,EMP-013,2022-02-24,2027-01-29,active,,,7612,2026-09-01
DEV-045,laptop,Lenovo,EMP-026,2023-03-21,2026-03-05,active,,,1785,2026-09-01
DEV-046,desktop,HP,EMP-039,2026-04-04,2030-03-14,active,,,1658,2026-09-01
DEV-047,mobile,Samsung,EMP-052,2025-05-09,2027-04-29,active,,,931,2026-09-01
DEV-048,server,Dell,EMP-065,2023-05-20,,retired,2024-11-10,yes,8304,2026-09-01
DEV-049,laptop,Dell,EMP-078,2024-01-15,2026-12-30,active,,,1277,2026-09-01
DEV-050,desktop,Dell,EMP-011,2026-02-03,2030-01-13,active,,,1450,2026-09-01
DEV-051,mobile,Apple,EMP-024,2026-03-05,2028-02-23,active,,,1023,2026-09-01
DEV-052,server,HPE,EMP-037,2023-10-17,2028-09-20,active,,,8996,2026-09-01
DEV-053,laptop,Lenovo,EMP-050,2023-10-17,,retired,2025-04-09,yes,1969,2026-09-01
DEV-054,desktop,HP,EMP-063,2025-12-05,2029-11-14,active,,,1242,2026-09-01
DEV-055,mobile,Samsung,EMP-076,2025-07-08,2027-06-28,active,,,1115,2026-09-01
DEV-056,server,Dell,EMP-009,2024-08-12,2029-07-17,active,,,9688,2026-09-01
DEV-057,laptop,Dell,EMP-022,2024-03-15,2027-02-28,active,,,1461,2026-09-01
DEV-058,desktop,Dell,EMP-035,2025-10-06,2029-09-15,active,,,1034,2026-09-01
DEV-059,mobile,Apple,EMP-048,2023-08-18,,retired,2025-02-08,yes,607,2026-09-01
DEV-060,server,HPE,EMP-061,2025-06-08,2030-05-13,active,,,10380,2026-09-01
