id,status,termination_date
EMP-001,active,
EMP-002,active,
EMP-003,active,
EMP-004,active,
EMP-005,active,
EMP-006,active,
EMP-007,active,
EMP-008,active,
EMP-009,active,
EMP-010,active,
EMP-011,active,
EMP-012,active,
EMP-013,active,
EMP-014,active,
EMP-015,active,
EMP-016,active,
EMP-017,active,
EMP-018,active,
EMP-019,active,
EMP-020,active,
EMP-021,active,
EMP-022,active,
EMP-023,active,
EMP-024,active,
EMP-025,active,
EMP-026,active,
EMP-027,active,
EMP-028,active,
EMP-029,active,
EMP-030,active,
EMP-031,active,
EMP-032,active,
EMP-033,active,
EMP-034,active,
EMP-035,active,
EMP-036,active,
EMP-037,active,
EMP-038,active,
EMP-039,active,
EMP-040,active,
EMP-041,active,
EMP-042,active,
EMP-043,active,
EMP-044,active,
EMP-045,active,
EMP-046,active,
EMP-047,active,
EMP-048,active,
EMP-049,active,
EMP-050,active,
EMP-051,active,
EMP-052,active,
EMP-053,active,
EMP-054,active,
EMP-055,active,
EMP-056,active,
EMP-057,active,
EMP-058,active,
EMP-059,active,
EMP-060,active,
EMP-061,active,
EMP-062,active,
EMP-063,active,
EMP-064,active,
EMP-065,active,
EMP-066,active,
EMP-067,active,
EMP-068,active,
EMP-069,active,
EMP-070,active,
EMP-071,terminated,2026-05-15
EMP-072,terminated,2026-07-02
EMP-073,active,
EMP-074,active,
EMP-075,active,
EMP-076,active,
EMP-077,active,
EMP-078,active,
EMP-079,active,
EMP-080,active,
