xw_id,primary_stages,secondary_stages
XW-001,deploy;operate,optimize;retire
XW-002,acquire;deploy;operate,plan
XW-003,plan;optimize,
XW-004,plan;optimize,
XW-005,deploy;operate,retire
XW-006,acquire;operate,retire
XW-007,operate;optimize,
XW-008,operate;optimize,acquire
XW-009,plan;optimize;retire,acquire;deploy;operate
XW-010,retire,
XW-011,plan;optimize,
XW-012,acquire;operate,
XW-013,acquire;retire,operate;optimize
XW-014,plan;optimize,
XW-015,deploy;operate,
XW-016,operate,
XW-017,operate;retire,
XW-018,deploy;operate,
XW-019,deploy;operate,
XW-020,optimize;retire,plan;acquire;deploy;operate
XW-021,plan;deploy,operate
XW-022,deploy;operate,plan
XW-023,acquire;operate,optimize
XW-024,operate;optimize,
XW-025,optimize,
XW-026,operate,optimize
XW-027,plan;optimize,acquire;retire
XW-028,plan;retire,acquire;deploy;operate;optimize
