id,app_id,entitlements,expiry,checked_on
LIC-001,APP-001,38,2027-06-30,2026-09-01
LIC-002,APP-002,51,2027-06-30,2026-09-01
LIC-003,APP-003,64,2027-06-30,2026-09-01
LIC-004,APP-004,77,2027-06-30,2026-09-01
LIC-005,APP-005,90,2027-06-30,2026-09-01
LIC-006,APP-006,103,2027-06-30,2026-09-01
LIC-007,APP-007,116,2027-06-30,2026-09-01
LIC-008,APP-008,129,2027-06-30,2026-09-01
LIC-009,APP-009,142,2027-06-30,2026-09-01
LIC-010,APP-010,155,2027-06-30,2026-09-01
LIC-011,APP-011,168,2027-06-30,2026-09-01
LIC-012,APP-012,181,2027-06-30,2026-09-01
LIC-013,APP-013,194,2027-06-30,2026-09-01
LIC-014,APP-014,207,2027-06-30,2026-09-01
LIC-015,APP-015,220,2027-06-30,2026-09-01
LIC-016,APP-016,233,2027-06-30,2026-09-01
LIC-017,APP-017,246,2026-03-31,2026-09-01
LIC-018,APP-018,259,2027-06-30,2026-09-01
LIC-019,APP-019,272,2027-06-30,2026-09-01
LIC-020,APP-020,285,2027-06-30,2026-09-01
LIC-021,APP-021,298,2027-06-30,2026-09-01
LIC-022,APP-022,311,2027-06-30,2026-09-01
LIC-023,APP-023,324,2027-06-30,2026-09-01
LIC-024,APP-024,337,2027-06-30,2026-09-01
LIC-025,APP-025,350,2027-06-30,2026-09-01
LIC-026,APP-026,363,2027-06-30,2026-09-01
LIC-027,APP-027,376,2027-06-30,2026-09-01
LIC-028,APP-028,389,2027-06-30,2026-09-01
LIC-029,APP-029,402,2027-06-30,2026-09-01
LIC-030,APP-030,415,2027-06-30,2026-09-01
LIC-031,APP-031,428,2027-06-30,2026-09-01
LIC-032,APP-032,441,2027-06-30,2026-09-01
LIC-033,APP-033,454,2027-06-30,2026-09-01
LIC-034,APP-034,467,2027-06-30,2026-09-01
LIC-035,APP-035,480,2027-06-30,2026-09-01
LIC-036,APP-036,493,2027-06-30,2026-09-01
LIC-037,APP-037,506,2027-06-30,2026-09-01
LIC-038,APP-038,519,2027-06-30,2026-09-01
LIC-039,APP-039,32,2027-06-30,2026-09-01
LIC-040,APP-040,45,2027-06-30,2026-09-01
LIC-041,APP-041,58,2027-06-30,2026-09-01
LIC-042,APP-042,71,2027-06-30,2026-09-01
LIC-043,APP-043,84,2027-06-30,2026-09-01
LIC-044,APP-044,97,2025-12-31,2026-09-01
LIC-045,APP-045,110,2027-06-30,2026-09-01
LIC-046,APP-046,123,2027-06-30,2026-09-01
LIC-047,APP-047,136,2027-06-30,2026-09-01
LIC-048,APP-048,149,2027-06-30,2026-09-01
LIC-049,APP-049,162,2027-06-30,2026-09-01
LIC-050,APP-050,175,2027-06-30,2026-09-01
LIC-051,APP-051,188,2027-06-30,2026-09-01
LIC-052,APP-052,201,2027-06-30,2026-09-01
LIC-053,APP-053,214,2027-06-30,2026-09-01
LIC-054,APP-054,227,2027-06-30,2026-09-01
LIC-055,APP-055,240,2027-06-30,2026-09-01
LIC-056,APP-056,253,2027-06-30,2026-09-01
LIC-057,APP-057,266,2027-06-30,2026-09-01
LIC-058,APP-058,279,2027-06-30,2026-09-01
LIC-059,APP-059,292,2027-06-30,2026-09-01
LIC-060,APP-060,305,2027-06-30,2026-09-01
